,,agroscap,anthoodo,arctouva,aulacpal,betulpen,betulpub,brachoed,brachref,brachsal,brachsta,brachvel,buxbaaph,calamaru,calluvul,carexcan,carexnig,carexova,carexpil,cephacon,cephl-sp,ceratpur,cetraisl,chameang,cirsipal,cladoano,cladoarb,cladobac,cladobot,cladocen,cladochl,cladococ,cladocor,cladocri,cladodef,cladodig,cladogra,cladomac,cladomit,cladoran,cladoste,cladosul,cynodstr,deschces,deschfle,dicradru,dicrafus,dicramon,dicrapol,dicrasco,dicraspu,drepaunc,dryopcar,dryopexp,empetnig,festuovi,frangaln,galeotet,galiualb,hieratri,hieravul,hylocspl,junipcom,lepidrep,leptopyr,linnabor,lophcbid,lophchet,luzulpil,lycodcom,maianbif,melampra,piceaabi,pinussyl,plagtden,plagtlae,pleuzsch,poa  pra,pohlinut,polytcom,polytfor,polytjun,polytlon,popultre,prunupad,ptildcil,ptildpul,ptilicri,rubusida,rumexact,salixcap,senecsyl,solidvir,sorbuauc,sphagcap,stellgra,tarax-sp,tayloten,tetrapel,trapegra,trieneur,vaccimyr,vaccivit,veronoff
,,agroscap,anthoodo,arctouva,aulacpal,betulpen,betulpub,brachoed,brachref,brachsal,brachsta,brachvel,buxbaaph,calamaru,calluvul,carexcan,carexnig,carexova,carexpil,cephacon,cephl-sp,ceratpur,cetraisl,chameang,cirsipal,cladoano,cladoarb,cladobac,cladobot,cladocen,cladochl,cladococ,cladocor,cladocri,cladodef,cladodig,cladogra,cladomac,cladomit,cladoran,cladoste,cladosul,cynodstr,deschces,deschfle,dicradru,dicrafus,dicramon,dicrapol,dicrasco,dicraspu,drepaunc,dryopcar,dryopexp,empetnig,festuovi,frangaln,galeotet,galiualb,hieratri,hieravul,hylocspl,junipcom,lepidrep,leptopyr,linnabor,lophcbid,lophchet,luzulpil,lycodcom,maianbif,melampra,piceaabi,pinussyl,plagtden,plagtlae,pleuzsch,poa  pra,pohlinut,polytcom,polytfor,polytjun,polytlon,popultre,prunupad,ptildcil,ptildpul,ptilicri,rubusida,rumexact,salixcap,senecsyl,solidvir,sorbuauc,sphagcap,stellgra,tarax-sp,tayloten,tetrapel,trapegra,trieneur,vaccimyr,vaccivit,veronoff
37,37,0.1,,,,,0.1,0.1,0.1,,,,,0.1,0.1,,,,,,,,0.1,0.1,,0.1,0.5,,,,0.1,,0.1,0.1,0.1,,,,,0.5,,,,0.1,60,,0.1,,2,0.5,,,,,,,,,,,,,,,,,,0.1,0.1,,,,2,,,0.1,15,,0.5,,,0.1,,,,0.1,0.1,,,,0.1,,,0.1,,,,,0.1,,0.1,2,0.5,
38,38,0.1,,,,,0.1,2,0.1,,,,,,,,,0.1,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,90,,,,0.1,,,0.1,0.1,,,,,,,0.1,,,,,,,,0.1,,,,,0.5,,,0.1,7,,0.5,,,0.1,0.1,,,,,,0.1,,,,,0.1,,0.1,,,,,0.5,0.1,0.1,
39,39,,,,,,0.1,0.5,,,,,,,0.1,,,,0.1,,,,2,0.1,,0.1,0.1,,,0.1,0.1,,0.1,0.1,,,,,,0.5,,0.1,,,60,,,0.1,0.5,2,,,0.1,,0.1,,,,,,,0.1,,,,,,,,,,,0.5,,,0.1,35,,0.5,,,0.5,0.1,,,0.1,,,0.1,0.1,,,,0.1,,,,,,,,35,0.5,
40,40,,,,,,0.1,,,,,,,,15,,,,,,,,2,0.1,,0.1,2,,,0.1,0.1,0.1,0.1,,,,0.1,,,2,0.1,0.1,0.1,,0.5,0.1,0.1,0.1,2,0.5,,,,,0.1,,,,,,,,,,,,,,,,,0.1,0.1,0.1,,,60,,0.5,,,0.1,,,,,0.1,,,,,,,0.1,,,,,,,,35,0.5,
41,41,,,,,,0.1,2,,,0.1,,,,,,,,,,0.1,,,,,,0.1,,,,,,,,,,,,,,,,,,90,,,0.1,0.1,0.1,,,0.1,,,,,,,,,,,,,,,0.1,0.1,,,,0.1,,,0.1,2,,0.1,,0.1,0.1,0.1,,,,0.1,,0.1,,,,,0.1,0.1,,,,0.1,,,0.5,0.1,
42,42,,,,0.1,,,0.5,0.1,0.1,,,,,0.1,,,,0.1,,0.1,,0.5,0.1,,0.1,0.5,,,,,,0.1,0.1,,,,,,0.1,,0.1,0.1,,35,,0.1,0.1,0.5,0.5,0.1,,,,,,,,,,,,,,,,,0.1,0.1,,,0.1,0.1,,,0.1,15,,0.5,,,0.1,,,,,0.1,,,,0.1,,,,,,,,,,,0.5,0.1,
44,44,,,,,,0.1,0.1,0.1,,,,,0.1,0.1,,,0.1,,,,,0.5,0.1,,0.1,0.1,,,,0.1,,,,,,,,,,,0.1,,,60,,,,2,0.1,0.1,,,,0.1,,,,,,,,,,,,,,0.1,,,0.1,0.5,,,0.1,15,,0.1,,,0.1,,,,,,,,,0.1,,,,,,,,,,,15,0.1,
45,45,,,0.1,,,0.1,,,,,,,,7,,,,,0.1,0.1,,2,0.1,,0.1,0.5,,,0.1,0.1,,0.1,0.1,,,,,,0.5,0.5,0.1,,,0.1,,0.5,,2,,0.1,,,,0.5,,,,,,,0.5,,,,,,,0.1,,,0.1,0.5,0.1,,,35,,0.5,,,0.1,,,,,0.1,,,,,,,,,,,,,,,7,7,
47,47,,,0.1,,,0.1,,,,,,,,2,,,,,,0.1,0.1,0.5,0.1,,0.1,2,,,,,,0.5,0.1,,,,,,0.5,,0.1,,,0.5,,0.1,,2,0.5,0.1,,,,0.1,,,,,,,0.1,,,,,,,0.1,,,0.1,0.5,0.1,,,60,,0.5,,,0.1,,,,,0.1,,,0.1,,,,0.1,,,,,,,,15,2,
48,48,0.1,,,,0.5,,0.1,0.1,,,,,,0.5,,,,,,0.1,,0.5,0.1,,0.1,0.1,,,,0.1,,0.1,,,,,,,0.5,,0.1,,,15,,0.1,,0.5,0.5,,,,,0.1,,,,,,,0.1,,,,,,,0.1,,,0.1,2,0.1,,0.1,35,,0.5,,,0.1,0.1,0.1,,,0.1,,0.1,,,,,0.1,,,,,0.1,,,15,0.5,
51,51,,,,,,0.1,2,0.1,,,,,0.1,,,,0.1,0.1,,,,,2,,,,,,,,,,,,,,,,,,,,,90,,,,0.1,0.1,,,0.1,,,,,0.1,,,,,,,,,,,,,,0.1,0.5,,,0.5,0.5,,0.1,,,0.1,0.1,,,,,,0.5,0.1,,,,0.1,,0.1,,,,,0.1,0.1,0.1,
52,52,,,,,0.1,0.1,2,0.1,,,,,,0.1,,,,,,,,0.1,0.5,,,0.1,,0.1,,,,0.1,,,,,,,0.1,,0.1,,,80,,,,0.1,0.5,0.1,,0.1,,,,,,0.1,0.1,,0.1,,,,,,0.1,,,,,0.5,,0.1,0.1,7,,0.5,,,0.1,0.1,,,,,,0.1,0.1,,,,0.1,,0.1,0.1,,,,0.1,0.1,0.1,
